João Pedro,54,000.000.000-00,Sim,Solteiro,Autônomo(a),Erros cadastrais,Sim,"4000,00",,
joao pedro,45,000.000.000-00,Não,Casado,Autônomo(a),Diivdas,Sim,"9900,09",,
joao pedro,55,454.452.434-04,Não,Casado,Autônomo(a),Erros cadastrais,Sim,899,,
koai ksef,45,777.777.777-77,Sim,solange,Registrado(a),erros cadastrias,Sim,"4525,34",,
ffddfdfdfd fdf,34,000.000.000-00,Não,solteiro,Registrado(a),Erros cadastrais,Sim,8888,,
fgfgf ff,50,000.000.000-00,Não,solteiro,Registrado(a),rrrr,Sim,777,,
dfdf ddf,45,000.000.000-00,Sim,solteir,Autônomo(a),erros,Não,4545,,
João Pedro,19,000.000.000-00,Não,Solteiro,Autônomo(a),Erros cadastrais,Sim,1402,,
Joao Pedro,84,000.000.000-00,Não,soltiero,Registrado(a),Kke,Não,0099,,
João Marcio,19,000.000.000-00,Não,Solteiro,Autônomo(a),Erros cadastrais,Sim,1402,,
